"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","population","TE","BH","signif"
"BEL-20_DTA-I",56.0295764662379,0.00466230484084849,0.110796130083354,0.0420800332768028,0.96643489720718,0.999945529425441,"chicharo vs makindu","BEL-20_DTA-I",0.999945529425441,FALSE
"BEL-20_DWIL-I",25.5615267446344,0.0125026512035106,0.107992543837873,0.115773281739529,0.907832226180536,0.999945529425441,"chicharo vs makindu","BEL-20_DWIL-I",0.999945529425441,FALSE
"BEL-21_DAN-I",56.1427670081573,-0.0192895504143018,0.112596374312871,-0.171315910765492,0.863975370424897,0.999945529425441,"chicharo vs makindu","BEL-21_DAN-I",0.999945529425441,FALSE
"BEL-21_DTA-I",168.399262331563,-0.0210471072023681,0.111254651762578,-0.189179570192566,0.84995207916391,0.999945529425441,"chicharo vs makindu","BEL-21_DTA-I",0.999945529425441,FALSE
"BEL-21_DWIL-I",88.3922900696877,0.0163776028799172,0.11164930321718,0.146687909444983,0.883378362232169,0.999945529425441,"chicharo vs makindu","BEL-21_DWIL-I",0.999945529425441,FALSE
"BEL-22_DAN-I",108.051669072819,0.0280271868575101,0.102666987175907,0.272991227545123,0.784859958958961,0.999945529425441,"chicharo vs makindu","BEL-22_DAN-I",0.999945529425441,FALSE
"BEL-22_DTA-I",217.234376261139,0.00341668775081382,0.0999281745020089,0.0341914356770836,0.972724495889194,0.999945529425441,"chicharo vs makindu","BEL-22_DTA-I",0.999945529425441,FALSE
"BEL-22_DTA-LTR",9.64404179385645,0.0263337951134725,0.092528355333648,0.284602433691979,0.775948746514475,0.999945529425441,"chicharo vs makindu","BEL-22_DTA-LTR",0.999945529425441,FALSE
"BEL-2_DAN-I",57.2135443064198,0.00141491840097376,0.113125571548837,0.0125075027829842,0.990020716825164,0.999945529425441,"chicharo vs makindu","BEL-2_DAN-I",0.999945529425441,FALSE
"BEL-2_DBI-I:BEL-2_DBI-LTR",5.87223520742557,0.0222941476288996,0.0939676283562365,0.2372534884501,0.812460142841599,0.999945529425441,"chicharo vs makindu","BEL-2_DBI-I:BEL-2_DBI-LTR",0.999945529425441,FALSE
"BEL-2_DBI-I",16.7608821734118,-0.00516411812805413,0.105881880508361,-0.0487724443810417,0.961100642229965,0.999945529425441,"chicharo vs makindu","BEL-2_DBI-I",0.999945529425441,FALSE
"BEL-2_DBP-I",30.2912978591621,0.0224197817113847,0.109200804738663,0.205307843335396,0.837331616489488,0.999945529425441,"chicharo vs makindu","BEL-2_DBP-I",0.999945529425441,FALSE
"BEL-2_DBP-LTR",2.33695897212524,-0.00196442866785213,0.0782315012869366,-0.0251104559613017,0.979966860161844,0.999945529425441,"chicharo vs makindu","BEL-2_DBP-LTR",0.999945529425441,FALSE
"BEL-2_DEL-I",14.4492177111646,0.00580382588629531,0.103293719888955,0.0561875968116424,0.955192361864279,0.999945529425441,"chicharo vs makindu","BEL-2_DEL-I",0.999945529425441,FALSE
"BEL-2_DEU-I",46.8691644897959,-0.00893688056823118,0.112714050318474,-0.079288079374133,0.936803487732115,0.999945529425441,"chicharo vs makindu","BEL-2_DEU-I",0.999945529425441,FALSE
"BEL-2_DFI-I",528.376289913502,0.0269141052079117,0.105366261389917,0.255433806352052,0.798388062876582,0.999945529425441,"chicharo vs makindu","BEL-2_DFI-I",0.999945529425441,FALSE
"BEL-2_DFI-LTR",0.225209292514103,0.00409939508565941,0.0338956938919664,0.120941471171092,0.903737393994461,0.999945529425441,"chicharo vs makindu","BEL-2_DFI-LTR",0.999945529425441,FALSE
